BenchmarkMarshalToBufferSmallViaMarshal-8   	   20000	       114.8 ns/op	     127 B/op	       3 allocs/op
BenchmarkMarshalToBufferSmall-8             	   20000	       128.0 ns/op	     105 B/op	       4 allocs/op
BenchmarkMarshalToBufferSmall-8             	   20000	       130.3 ns/op	     112 B/op	       4 allocs/op
BenchmarkMarshalToBufferSmall-8             	   20000	       130.2 ns/op	     112 B/op	       4 allocs/op
BenchmarkMarshalToBufferSmall-8             	   20000	       132.3 ns/op	     112 B/op	       4 allocs/op
BenchmarkMarshalToBufferSmall-8             	   20000	       129.7 ns/op	     112 B/op	       4 allocs/op
BenchmarkMarshalToBufferSmall-8             	   20000	       138.7 ns/op	     112 B/op	       4 allocs/op
BenchmarkMarshalToBufferSmall-8             	   20000	       129.4 ns/op	     112 B/op	       4 allocs/op
BenchmarkMarshalToBufferSmall-8             	   20000	       128.6 ns/op	     112 B/op	       4 allocs/op
BenchmarkMarshalToBufferSmall-8             	   20000	       130.0 ns/op	     112 B/op	       4 allocs/op
BenchmarkMarshalToBufferSmall-8             	   20000	       128.8 ns/op	     105 B/op	       4 allocs/op
BenchmarkMarshalToBufferSmall-8             	   20000	       129.2 ns/op	     112 B/op	       4 allocs/op
BenchmarkMarshalToBufferSmall-8             	   20000	       130.0 ns/op	     105 B/op	       4 allocs/op
